Hull Hydrostatics:,
141
2.90E+00,0.00E+00,2.90E+00,2.90E+00,4.98E+03,5.10E+06,1.05E+04,6.13E+01,0.00E+00,1.52E+00,1.86E+03,6.01E+01,8.12E+06,1.40E+06,5.61E+04,2.81E+02,1.13E+01,2.83E+02,1.28E+01,1.90E+01,1.13E+05
3.00E+00,0.00E+00,3.00E+00,3.00E+00,5.17E+03,5.29E+06,1.06E+04,6.12E+01,0.00E+00,1.57E+00,1.86E+03,6.01E+01,8.14E+06,1.41E+06,5.62E+04,2.72E+02,1.09E+01,2.74E+02,1.25E+01,1.91E+01,1.13E+05
3.10E+00,0.00E+00,3.10E+00,3.10E+00,5.36E+03,5.49E+06,1.06E+04,6.12E+01,0.00E+00,1.62E+00,1.87E+03,6.00E+01,8.14E+06,1.42E+06,5.65E+04,2.65E+02,1.05E+01,2.66E+02,1.22E+01,1.91E+01,1.14E+05
3.20E+00,0.00E+00,3.20E+00,3.20E+00,5.55E+03,5.68E+06,1.06E+04,6.12E+01,0.00E+00,1.67E+00,1.87E+03,6.00E+01,8.18E+06,1.43E+06,5.67E+04,2.58E+02,1.02E+01,2.59E+02,1.19E+01,1.92E+01,1.15E+05
3.30E+00,0.00E+00,3.30E+00,3.30E+00,5.74E+03,5.88E+06,1.06E+04,6.12E+01,0.00E+00,1.72E+00,1.88E+03,6.00E+01,8.19E+06,1.43E+06,5.68E+04,2.50E+02,9.91E+00,2.52E+02,1.16E+01,1.92E+01,1.15E+05
3.40E+00,0.00E+00,3.40E+00,3.40E+00,5.93E+03,6.07E+06,1.07E+04,6.12E+01,0.00E+00,1.78E+00,1.88E+03,6.00E+01,8.22E+06,1.44E+06,5.70E+04,2.44E+02,9.61E+00,2.46E+02,1.14E+01,1.93E+01,1.16E+05
3.50E+00,0.00E+00,3.50E+00,3.50E+00,6.12E+03,6.27E+06,1.07E+04,6.12E+01,0.00E+00,1.83E+00,1.89E+03,6.00E+01,8.27E+06,1.46E+06,5.73E+04,2.39E+02,9.36E+00,2.41E+02,1.12E+01,1.94E+01,1.18E+05
3.60E+00,0.00E+00,3.60E+00,3.60E+00,6.31E+03,6.46E+06,1.07E+04,6.12E+01,0.00E+00,1.88E+00,1.89E+03,6.00E+01,8.28E+06,1.46E+06,5.74E+04,2.32E+02,9.10E+00,2.34E+02,1.10E+01,1.94E+01,1.18E+05
3.70E+00,0.00E+00,3.70E+00,3.70E+00,6.50E+03,6.66E+06,1.07E+04,6.12E+01,0.00E+00,1.93E+00,1.81E+03,6.16E+01,8.22E+06,1.37E+06,4.95E+04,2.11E+02,7.62E+00,2.13E+02,9.55E+00,1.85E+01,1.10E+05
3.80E+00,0.00E+00,3.80E+00,3.80E+00,6.69E+03,6.85E+06,1.08E+04,6.12E+01,0.00E+00,1.99E+00,1.81E+03,6.15E+01,8.22E+06,1.38E+06,4.96E+04,2.06E+02,7.42E+00,2.08E+02,9.40E+00,1.85E+01,1.11E+05
3.90E+00,0.00E+00,3.90E+00,3.90E+00,6.89E+03,7.05E+06,1.08E+04,6.12E+01,0.00E+00,2.04E+00,1.81E+03,6.14E+01,8.22E+06,1.39E+06,4.98E+04,2.02E+02,7.24E+00,2.04E+02,9.28E+00,1.86E+01,1.12E+05
4.00E+00,0.00E+00,4.00E+00,4.00E+00,7.08E+03,7.25E+06,1.08E+04,6.12E+01,0.00E+00,2.09E+00,1.82E+03,6.13E+01,8.22E+06,1.40E+06,5.00E+04,1.97E+02,7.07E+00,1.99E+02,9.16E+00,1.86E+01,1.12E+05
4.10E+00,0.00E+00,4.10E+00,4.10E+00,7.27E+03,7.44E+06,1.08E+04,6.12E+01,0.00E+00,2.14E+00,1.83E+03,6.15E+01,8.31E+06,1.41E+06,5.03E+04,1.94E+02,6.92E+00,1.97E+02,9.07E+00,1.87E+01,1.14E+05
4.20E+00,0.00E+00,4.20E+00,4.20E+00,7.46E+03,7.64E+06,1.09E+04,6.12E+01,0.00E+00,2.19E+00,1.83E+03,6.14E+01,8.33E+06,1.42E+06,5.05E+04,1.91E+02,6.77E+00,1.93E+02,8.96E+00,1.87E+01,1.15E+05
4.30E+00,0.00E+00,4.30E+00,4.30E+00,7.66E+03,7.84E+06,1.09E+04,6.12E+01,0.00E+00,2.25E+00,1.83E+03,6.14E+01,8.33E+06,1.43E+06,5.06E+04,1.87E+02,6.61E+00,1.89E+02,8.86E+00,1.88E+01,1.15E+05
4.40E+00,0.00E+00,4.40E+00,4.40E+00,7.85E+03,8.04E+06,1.09E+04,6.12E+01,0.00E+00,2.30E+00,1.84E+03,6.14E+01,8.36E+06,1.44E+06,5.07E+04,1.84E+02,6.46E+00,1.86E+02,8.76E+00,1.88E+01,1.16E+05
4.50E+00,0.00E+00,4.50E+00,4.50E+00,8.04E+03,8.24E+06,1.09E+04,6.12E+01,0.00E+00,2.35E+00,1.85E+03,6.12E+01,8.36E+06,1.45E+06,5.10E+04,1.81E+02,6.34E+00,1.83E+02,8.69E+00,1.89E+01,1.17E+05
4.60E+00,0.00E+00,4.60E+00,4.60E+00,8.24E+03,8.44E+06,1.10E+04,6.12E+01,0.00E+00,2.40E+00,1.85E+03,6.12E+01,8.38E+06,1.46E+06,5.11E+04,1.78E+02,6.20E+00,1.80E+02,8.61E+00,1.89E+01,1.18E+05
4.70E+00,0.00E+00,4.70E+00,4.70E+00,8.43E+03,8.64E+06,1.10E+04,6.12E+01,0.00E+00,2.46E+00,1.88E+03,6.07E+01,8.41E+06,1.49E+06,5.36E+04,1.77E+02,6.36E+00,1.80E+02,8.81E+00,1.92E+01,1.20E+05
4.80E+00,0.00E+00,4.80E+00,4.80E+00,8.63E+03,8.84E+06,1.10E+04,6.12E+01,0.00E+00,2.51E+00,1.88E+03,6.07E+01,8.43E+06,1.50E+06,5.38E+04,1.74E+02,6.24E+00,1.76E+02,8.74E+00,1.93E+01,1.21E+05
4.90E+00,0.00E+00,4.90E+00,4.90E+00,8.82E+03,9.04E+06,1.10E+04,6.12E+01,0.00E+00,2.56E+00,1.89E+03,6.05E+01,8.44E+06,1.52E+06,5.41E+04,1.72E+02,6.13E+00,1.75E+02,8.69E+00,1.94E+01,1.22E+05
5.00E+00,0.00E+00,5.00E+00,5.00E+00,9.02E+03,9.24E+06,1.11E+04,6.12E+01,0.00E+00,2.61E+00,1.90E+03,6.05E+01,8.47E+06,1.53E+06,5.44E+04,1.69E+02,6.04E+00,1.72E+02,8.65E+00,1.94E+01,1.23E+05
5.10E+00,0.00E+00,5.10E+00,5.10E+00,9.22E+03,9.44E+06,1.11E+04,6.12E+01,0.00E+00,2.67E+00,1.90E+03,6.04E+01,8.49E+06,1.54E+06,5.46E+04,1.67E+02,5.92E+00,1.70E+02,8.59E+00,1.95E+01,1.24E+05
5.20E+00,0.00E+00,5.20E+00,5.20E+00,9.42E+03,9.64E+06,1.11E+04,6.12E+01,0.00E+00,2.72E+00,1.91E+03,6.03E+01,8.47E+06,1.55E+06,5.49E+04,1.64E+02,5.83E+00,1.67E+02,8.55E+00,1.95E+01,1.24E+05
5.30E+00,0.00E+00,5.30E+00,5.30E+00,9.61E+03,9.84E+06,1.11E+04,6.12E+01,0.00E+00,2.77E+00,1.91E+03,6.01E+01,8.47E+06,1.56E+06,5.50E+04,1.62E+02,5.72E+00,1.65E+02,8.49E+00,1.96E+01,1.26E+05
5.40E+00,0.00E+00,5.40E+00,5.40E+00,9.81E+03,1.01E+07,1.12E+04,6.11E+01,0.00E+00,2.82E+00,1.92E+03,6.01E+01,8.50E+06,1.57E+06,5.54E+04,1.60E+02,5.64E+00,1.63E+02,8.47E+00,1.96E+01,1.27E+05
5.50E+00,0.00E+00,5.50E+00,5.50E+00,1.00E+04,1.03E+07,1.12E+04,6.11E+01,0.00E+00,2.88E+00,1.93E+03,6.00E+01,8.50E+06,1.59E+06,5.57E+04,1.58E+02,5.57E+00,1.61E+02,8.44E+00,1.97E+01,1.28E+05
5.60E+00,0.00E+00,5.60E+00,5.60E+00,1.02E+04,1.05E+07,1.12E+04,6.11E+01,0.00E+00,2.93E+00,1.93E+03,5.99E+01,8.50E+06,1.59E+06,5.59E+04,1.56E+02,5.48E+00,1.59E+02,8.40E+00,1.97E+01,1.28E+05
